country,country_code,year,child_mortality_rate,electricity_access_pct,food_production_index,gdp_per_capita,gini_index,inflation_rate,population,unemployment_rate
DR Congo,COD,2014,99.0,13.5,98.72,458.004541775676,,1.24303889760764,78403242.0,4.436
DR Congo,COD,2015,95.6,16.6,99.26,467.9145805459,,0.744198994781517,81035531.0,4.439
DR Congo,COD,2016,92.3,17.3,102.02,442.310472110228,,2.88585107290007,83956415.0,4.521
DR Congo,COD,2017,89.3,18.0,103.91,436.584534687385,,,87083398.0,4.601
DR Congo,COD,2018,86.3,18.7,106.34,528.256019777898,,,90047644.0,4.618
DR Congo,COD,2019,83.5,19.1,108.52,557.044161335917,,,92947442.0,4.591
DR Congo,COD,2020,80.7,20.1,113.23,507.521230077872,44.7,,95989998.0,5.345
DR Congo,COD,2021,78.1,20.8,118.0,558.034077296358,,,99148932.0,5.28
DR Congo,COD,2022,75.7,21.5,122.79,642.612267148918,,,102396968.0,4.522
DR Congo,COD,2023,73.2,22.1,,633.395661686298,,,105789731.0,4.484
Kenya,KEN,2014,48.8,36.0,102.26,1482.81566253497,,6.87815499275944,46051440.0,2.768
Kenya,KEN,2015,47.4,41.6,102.07,1489.11959777284,40.8,6.58215429284783,47088526.0,2.762
Kenya,KEN,2016,46.0,53.1,95.67,1554.12610314423,,6.29724953814624,48139687.0,2.757
Kenya,KEN,2017,45.3,55.8,90.64,1667.48447230835,,8.00564967709946,49197766.0,3.541
Kenya,KEN,2018,44.3,61.2,100.31,1836.45275528993,,4.68980646776328,50207107.0,4.284
Kenya,KEN,2019,43.3,69.7,107.28,1960.40808854893,,5.23963795764789,51202827.0,5.014
Kenya,KEN,2020,42.8,71.5,125.82,1927.66459027849,36.2,5.40516207933395,52217334.0,5.619
Kenya,KEN,2021,41.9,76.5,123.29,2061.35622089594,38.7,6.10793603659178,53219166.0,5.693
Kenya,KEN,2022,41.1,76.0,112.38,2109.56288513137,37.7,7.65986268272222,54252461.0,5.707
Kenya,KEN,2023,39.9,76.2,,1952.30457929636,,7.67139634029401,55339003.0,5.567
South Sudan,SSD,2014,182.3,4.3,98.42,1242.73450181032,,1.67429906295521,11235073.0,12.602
South Sudan,SSD,2015,236.6,4.8,100.49,1080.14718624765,,52.7663304192143,11107561.0,12.485
South Sudan,SSD,2016,263.9,5.3,101.1,,44.0,379.999585624026,10830102.0,12.955
South Sudan,SSD,2017,278.2,4.2,100.66,,,187.851630279442,10259154.0,13.111
South Sudan,SSD,2018,132.4,6.3,101.96,,,83.5015294922,10122977.0,12.952
South Sudan,SSD,2019,98.7,6.8,110.73,,,87.2413641500032,10423384.0,12.709
South Sudan,SSD,2020,98.7,7.3,106.85,,,29.6758435538571,10698467.0,14.319
South Sudan,SSD,2021,98.7,7.7,114.19,,,10.5167158294359,10865780.0,14.029
South Sudan,SSD,2022,98.7,8.4,114.76,,,-6.68732094212666,11021177.0,12.545
South Sudan,SSD,2023,98.7,5.4,,,,2.38280434813755,11483374.0,12.477
Uganda,UGA,2014,59.1,20.4,101.79,896.054795546394,,3.07570668958643,36395539.0,2.348
Uganda,UGA,2015,55.8,18.5,103.67,862.934610355811,,5.58968606251723,37531446.0,2.679
Uganda,UGA,2016,52.5,26.7,94.55,752.696571725656,42.8,5.70637504616216,38799152.0,3.008
Uganda,UGA,2017,49.8,32.4,103.98,765.218332297361,,5.20971705914208,40177388.0,3.428
Uganda,UGA,2018,47.4,41.9,105.73,792.16570022814,,2.61601190952271,41565831.0,3.25
Uganda,UGA,2019,45.3,41.3,118.45,822.171150141651,42.7,2.86758803446903,42999637.0,3.06
Uganda,UGA,2020,43.5,42.1,139.38,845.76646385001,,3.31332289544504,44457152.0,3.831
Uganda,UGA,2021,41.8,45.2,151.83,882.791717442001,,2.20457204757409,45910930.0,3.422
Uganda,UGA,2022,40.5,47.1,135.53,963.067314233497,,7.19578885975811,47312719.0,2.886
Uganda,UGA,2023,38.8,51.5,,1002.30913908852,,5.35094804280395,48656601.0,2.787
